"astro-ph/0405155","Johan Holmberg","Johan Holmberg and Chris Flynn","The local surface density of disc matter mapped by Hipparcos","Accepted for publication in MNRAS, 8 pages, 11 figures","Mon.Not.Roy.Astron.Soc. 352 (2004) 440","10.1111/j.1365-2966.2004.07931.x",,"astro-ph",,"  We determine the surface density of matter in the disc of the Galaxy at the
solar position using K giant stars. The local space density and luminosity
function of the giants is determined using parallaxes from the Hipparcos
satellite; for more distant giants, observed in a cone at the South Galactic
Pole, distances are determined using intermediate band DDO photometry (which
has been calibrated to the Hipparcos absolute magnitudes). From this sample, we
determine the gravitational potential vertically of the local Galactic disc, by
comparing the number of giant stars observed in the cone with the number
expected for various models of the matter distribution in the disc. We derive
an estimate of the dynamical disc mass surface density of 56 +/- 6 solar masses
/pc^2, which may be compared to an estimate of 53 solar masses/pc^2 in visible
matter. For all gravitating matter (disc + dark halo) we find the total density
within 1.1 kpc of the disc midplane to be 74 +/- 6 solar masses/pc^2. As has
been found by a number of studies, including our own, we find no compelling
evidence for significant amounts of dark matter in the disc.
","[{""version"":""v1"",""created"":""Sun, 9 May 2004 07:48:36 GMT""}]","2009-11-10"
"astro-ph/0405165","Takahiro Kudoh","Takahiro Kudoh and Shantanu Basu (University of Western Ontario)","A Mushroom-shaped Structure from the Impact of a Cloud with the Galactic
  Disk","6 pages, 5 figures, accepted for publication in A&A, color figures
  and movies at http://www.astro.uwo.ca/~kudoh/mushroom/","Astron.Astrophys. 423 (2004) 183-188","10.1051/0004-6361:20047141",,"astro-ph",,"  We propose that the mushroom-shaped structure of the Galactic worm GW
123.4--1.5 is created by a cloud collision with the Galactic gas disk. A
hydrodynamic simulation shows that a mushroom-shaped structure is created after
the cloud crosses the Galactic midplane. The lifetime of the mushroom-shaped
structure is of order the dynamical time scale of the disk, \sim 10^7 years. We
find that the velocities across the cap of the mushroom-shaped structure in the
simulation are consistent with the observed values. The simulation also
predicts a structure on the opposite side of the Galactic plane which is
created by the Kelvin-Helmholtz instability after the cloud passes through the
disk.
","[{""version"":""v1"",""created"":""Sat, 8 May 2004 17:28:26 GMT""}]","2009-11-10"
"astro-ph/0405166","Antonio S. Hales","A. S. Hales, S. Casassus, H. Alvarez, J. May, L. Bronfman, A. C.
  Readhead, T. J. Pearson, B. S. Mason, and R. Dodson","Vela X at 31 GHz","Accepted for publication in The Astrophysical Journal. 25 pages, 9
  figures","Astrophys.J. 613 (2004) 977-985","10.1086/422598",,"astro-ph",,"  We present observations of the Vela X region at 31 GHz using the Cosmic
Background Imager (CBI). We find a strong compact radio source (5.9'x4.1',
FWHM) about the Vela pulsar, which we associate with the Vela pulsar wind
nebula (PWN) recently discovered at lower radio-frequencies. The CBI's 4'
resolution for a 45' field of view allows the PWN to be studied in the
large-scale context of Vela X. Filamentary structure in Vela X, which stands
out in lower frequency maps, is very low-level at 31 GHz. By combining the 10
CBI channels, which cover 26-36 GHz, and 8.4 GHz archive data, we study the
spectral energy distribution (SED) of the PWN and the brightest filaments. Our
results show that the spectral index alpha (F_{nu} propto nu^alpha) of the PWN
is flat, or even marginally positive, with a value of
alpha_{8.4}^{31}=0.10+-0.06, while the Vela X filamentary structure has a
negative spectral index of alpha_{8.4}^{31}=-0.28+-0.09. The SED inhomogeneity
observed in Vela X suggests different excitation processes between the PWN and
the filaments. We investigate whether the PWN's flat spectrum is a consequence
of variability or truly reflects the SED of the object. The peak of the PWN at
31 GHz is 80''+-20'' south-west of the peak at 8.4 GHz. This shift is confirmed
by comparing the 31 GHz CBI image with higher resolution 5 GHz Australia
Telescope Compact Array observations, and is likely to be due to SED variations
within the PWN. We also investigate the nature of the Vela X filamentary
structure.
","[{""version"":""v1"",""created"":""Sat, 8 May 2004 20:36:48 GMT""}]","2009-11-10"
"astro-ph/0405167","Priscilla Chapman Frisch","P. C. Frisch","The Solar Galactic Environment","3rd Annual IGPP-UCR Astrophysics Conference: Physics of the Outer
  Heliosphere [AIP]",,"10.1063/1.1809547",,"astro-ph",,"  Combined heliosphere-astronomical data and models enrich our understanding
both of effects the solar galactic environment might have on the inner
heliosphere, and of interstellar clouds. Present data suggest that FeII/DI
increases toward the upwind direction of the cluster of interstellar clouds
(CLIC) flowing past the Sun. Cloud kinematics and abundances suggest an origin
related to a supershell around the Scorpius-Centaurus Association. The solar
space trajectory indicates the Sun entered the CLIC gas relatively recently.
","[{""version"":""v1"",""created"":""Sat, 8 May 2004 22:21:37 GMT""},{""version"":""v2"",""created"":""Mon, 24 May 2004 20:35:46 GMT""}]","2009-11-10"
"astro-ph/0405168","Bian Weihao","W. Bian & Y. Zhao","Black hole masses in narrow-line Seyfert 1 galaxies","6 pages, 3 figures, accepted by MNRAS","Mon.Not.Roy.Astron.Soc. 352 (2004) 823","10.1111/j.1365-2966.2004.07967.x",,"astro-ph",,"  The masses of central supermassive black holes in a soft X-ray selected
sample of the narrow-line Seyfert 1 galaxies (NLS1s) are estimated by some
different methods to test their theoretical models. Apart from the methods
using the H$\beta$ linewidth and the [O III] linewidth, soft X-ray excess as a
prominent character of NLS1s is used to estimate the black hole masses. The
virial mass derived from the H$\beta$ linewidth assuming random orbits of
broad-line reigns (BLRs) is consistent with that from the soft X-ray bump
luminosity for NLS1s but with a larger scatter. The virial black hole masses
showed that most of NLS1s are in the super-Eddington accretion state while most
of broad-line Seyfert 1 galaxies (BLS1s) are not. We found that the black hole
mass estimated from [O III] linewidth is not in agreement with above two
methods. Using the Eddington limit relation for the super-Eddington accretion
suggested by Wang (2004), we found that there are 16 NLS1s satisfied with this
Eddington limit relation. The masses of these 16 NLS1s derived from X-ray
luminosity are systematically larger than that from H$\beta$ linewidth assuming
random BLRs orbits. If the mass derived from X-ray luminosity is true, the mean
disk inclination to the line of sight in these 16 NLS1s is about $17^{\circ}$,
which provided new support for the pole-on orientation effect in NLS1s.
","[{""version"":""v1"",""created"":""Sun, 9 May 2004 05:41:36 GMT""}]","2009-11-10"
"astro-ph/0405169","Dejan Vinkovic","D. Vinkovic, Th. Bloecker, K.-H. Hofmann, M. Elitzur, G. Weigelt","Bipolar outflow on the Asymptotic Giant Branch - the case of IRC+10011","accepted for publication in MNRAS, high-resolution pdf version can be
  found at http://www.leluya.org/downloads/Vinkovic_et_al_IRC+10011.pdf","Mon.Not.Roy.Astron.Soc. 352 (2004) 852","10.1111/j.1365-2966.2004.07972.x",,"astro-ph",,"  Near-IR imaging of the AGB star IRC+10011 (= CIT3) reveals the presence of a
bipolar structure within the central ~0.1 arcsec of a spherical dusty wind. We
show that the image asymmetries originate from ~1E-4 Msun of swept-up wind
material in an elongated cocoon whose expansion is driven by bipolar jets. We
perform detailed 2D radiative transfer calculations with the cocoon modeled as
two cones extending to ~1,100 AU within an opening angle of ~30deg, imbedded in
a wind with the standard r^{-2} density profile. The cocoon expansion started
<~200 years ago, while the total lifetime of the circumstellar shell is ~5,500
years. Similar bipolar expansion, at various stages of evolution, has been
recently observed in a number of other AGB stars, culminating in jet breakout
from the confining spherical wind. The bipolar outflow is triggered at a late
stage in the evolution of AGB winds, and IRC+10011 provides its earliest
example thus far. These new developments enable us to identify the first
instance of symmetry breaking in the evolution from AGB to planetary nebula.
","[{""version"":""v1"",""created"":""Sun, 9 May 2004 07:51:05 GMT""}]","2009-11-10"
"cond-mat/0405170","Ivan Protopopov V.","Ivan V. Protopopov and Mikhail V. Feigel'man","Theory of 4e versus 2e supercurrent in frustrated Josepshon-junction
  rhombi chain","23 pages, 9 figures",,"10.1103/PhysRevB.70.184519",,"cond-mat.supr-con cond-mat.mes-hall",,"  We consider a chain of Josepshon-junction rhombi (proposed originally in
\cite{Doucot}) in quantum regime, and in the realistic case when charging
effects are determined by junction capacitances. In the maximally frustrated
case when magnetic flux through each rhombi $\Phi_r$ is equal to one half of
superconductive flux quantum $\Phi_0$, Josepshon current is due to correlated
transport of {\em pairs of Cooper pairs}, i.e. charge is quantized in units of
$4e$. Sufficiently strong deviation $ \delta\Phi \equiv |\Phi_r-\Phi_0/2| >
\delta\Phi^c$ from the maximally frustrated point brings the system back to
usual $2e$-quantized supercurrent. We present detailed analysis of Josepshon
current in the fluctuation-dominated regime (sufficiently long chains) as
function of the chain length, $E_J/E_C$ ratio and flux deviation $ \delta\Phi$.
We provide estimates for the set of parameters optimized for the observation of
$4e$-supercurrent.
","[{""version"":""v1"",""created"":""Sat, 8 May 2004 16:27:22 GMT""}]","2013-05-29"
"cond-mat/0405171","Suneel Kodambaka Dr","S. Kodambaka, Navot Israeli, J. Bareno, W. Swiech, Kenji Ohmori, I.
  Petrov and J. E. Greene","Low-Energy Electron Microscopy Studies of Interlayer Mass Transport
  Kinetics on TiN(111)","26 pages, 5 figures","Surf. Sci. 560/1-3 pp.53-62 (2004)","10.1016/j.susc.2004.05.005",,"cond-mat.mtrl-sci",,"  In situ low-energy electron microscopy was used to study interlayer mass
transport kinetics during annealing of three-dimensional (3D) TiN(111) mounds,
consisting of stacked 2D islands, at temperatures T between 1550 and 1700 K. At
each T, the islands decay at a constant rate, irrespective of their initial
position in the mounds, indicating that mass is not conserved locally. From
temperature-dependent island decay rates, we obtain an activation energy of
2.8+/-0.3 eV. This is consistent with the detachment-limited decay of 2D TiN
islands on atomically-flat TiN(111) terraces [Phys. Rev. Lett. 89 (2002)
176102], but significantly smaller than the value, 4.5+/-0.2 eV, obtained for
bulk-diffusion-limited spiral step growth [Nature 429, 49 (2004)]. We model the
process based upon step flow, while accounting for step-step interactions, step
permeability, and bulk mass transport. The results show that TiN(111) steps are
highly permeable and exhibit strong repulsive temperature-dependent step-step
interactions that vary between 0.003 and 0.076 eV-nm. The rate-limiting process
controlling TiN(111) mound decay is surface, rather than bulk, diffusion in the
detachment-limited regime.
","[{""version"":""v1"",""created"":""Sat, 8 May 2004 22:44:59 GMT""}]","2009-11-10"
"cond-mat/0405172","Kyungsik Kim","Kyungsik Kim, Seong-Min Yoon, J. S. Choi, Hideki Takayasu","Herd Behaviors in Financial Markets","15 pages, 6 figures","J. Korean Phys. Soc. 44, 647 (2004)","10.3938/jkps.44.647",,"cond-mat.stat-mech q-fin.ST",,"  We investigate the herd behavior of returns for the yen-dollar exchange rate
in the Japanese financial market. It is obtained that the probability
distribution $P(R)$ of returns $R$ satisfies the power-law behavior $P(R)
\simeq R^{-\beta}$ with the exponents $ \beta=3.11$(the time interval $\tau=$
one minute) and 3.36($\tau=$ one day). The informational cascade regime appears
in the herding parameter $H\ge 2.33$ at $\tau=$ one minute, while it occurs no
herding at $\tau=$ one day. Especially, we find that the distribution of
normalized returns shows a crossover to a Gaussian distribution at one time
step $\Delta t=1$ day.
","[{""version"":""v1"",""created"":""Sun, 9 May 2004 00:38:55 GMT""}]","2015-06-24"
"cond-mat/0405173","Kyungsik Kim","Kyungsik Kim, Seong-Min Yoon and Jum-Soo Choi","Multifractal Measures for the Yen-Dollar Exchange Rate","14 pages, 5 figures","J. Korean Phys. Soc. 44, 643 (2004)","10.3938/jkps.44.643",,"cond-mat.stat-mech q-fin.ST",,"  We study the tick dynamical behavior of the yen-dollar exchange rate using
the rescaled range analysis in financial market. It is found that the
multifractal Hurst exponents with the short and long-run memory effects can be
obtained from the yen-dollar exchange rate. This exists one crossover for the
Hurst exponents at charateristic time scales, while the bond futures exists no
crossover. Particularly, it is shown that the probability distribution of the
yen-dollar exchange rate has one form of the Lorentz distribution rather than
fat-tailed properties, which is similar to that of for the won-dollar exchange
rate.
","[{""version"":""v1"",""created"":""Sun, 9 May 2004 01:00:23 GMT""}]","2015-06-24"
