"astro-ph/0411340","Alina Streblyanska","A. Streblyanska (1), G. Hasinger (1), A. Finoguenov (1), X. Barcons
  (2), S. Mateos (2), A. C. Fabian (3) ((1) MPE, Germany; (2) Instituto de
  Fisica de Cantabria (CSIC-UC), Spain; (3) Cambridge, UK)","XMM-Newton observations of the Lockman Hole: III. A relativistic Fe line
  in the mean X-ray spectra of type-1 and type-2 AGN","6 pages, 5 figures, submitted for publication in A&A",,"10.1051/0004-6361:20041977",,"astro-ph",,"  Using the 770 ksec XMM-Newton survey of the Lockman Hole field in combination
with extensive optical identifications of the AGN population, we derive an
average rest-frame spectrum of AGN types-1 and 2. The most prominent feature in
the averaged spectrum is a strong fluorescent Fe line. In both type-1 and
type-2 AGN, a clear relativistic line profile is rev ealed. A laor line profile
with an inner disk radius smaller than the last stabl e orbit of a
Schwarzschild black hole is most consistent with the data, indicati ng that the
average supermassive black hole has significant spin. Equivalent wid ths of the
broad relativistic lines range between 400--600 eV. We used the disk reflection
model to compare the observed strength of the line with the amplitude of the
reflection component, concluding that to consistently describe the observations
the average iron abundance should be about three times the solar value.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2004 10:09:40 GMT""},{""version"":""v2"",""created"":""Tue, 16 Nov 2004 13:07:46 GMT""}]","2009-11-10"
"astro-ph/0411358","Mark Boulay","M.G. Boulay and A. Hime","Direct WIMP Detection Using Scintillation Time Discrimination in Liquid
  Argon","5 pages, 5 figures",,,,"astro-ph",,"  Discrimination between electron and nuclear recoil events in a liquid argon
scintillation detector has been demonstrated with simulations by using the
differences in the scintillation photon time distribution between these classes
of events. A discrimination power greater than 10^{8} is predicted for a liquid
argon experiment with a 10 keV threshold, which would mitigate electron and
gamma-ray backgrounds, including beta decays of 39-Ar and 42-Ar in atmospheric
argon. A dark matter search using a ~2 kg argon target viewed by immersed
photomultiplier tubes would allow a sensitivity to a spin-independent
WIMP-nucleon cross-section of ~10^{-43} cm^{2} for a 100 GeV WIMP, assuming a
one-year exposure. This technique could be used to scale the target mass to the
tonne scale, allowing a sensitivity of ~10^{-46} cm^{2}.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2004 15:35:57 GMT""}]","2007-05-23"
"astro-ph/0411373","Seiji Zenitani","S. Zenitani and M. Hoshino","Relativistic Particle Acceleration in a Folded Current Sheet","11 preprint pages, including 3 .eps figures","Astrophys.J. 618 (2004) L111-L114","10.1086/427873",,"astro-ph",,"  Two-dimensional particle simulations of a relativistic Harris current sheet
of pair plasmashave demonstrated that the system is unstable to the
relativistic drift kink instability (RDKI) and that a new kind of acceleration
process takes place in the deformed current sheet. This process contributes to
the generation of non-thermal particles and contributes to the fast magnetic
dissipation in the current sheet structure. The acceleration mechanism and a
brief comparison with relativistic magnetic reconnection are presented.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2004 05:42:56 GMT""},{""version"":""v2"",""created"":""Tue, 24 May 2005 16:53:00 GMT""}]","2009-11-10"
"astro-ph/0411382","Michael Fellhauer","M. Fellhauer, P. Kroupa (Sternwarte University Bonn)","A Formation Scenario for the Heavy-Weight Cluster W3 in NGC 7252","6 pages, 2 figures, to appear in the proceedings of 'Starburst 2004 -
  from 30 Doradus to Lyman break galaxies', September 6-10 2004, Cambridge,UK",,,,"astro-ph",,"  The young star cluster W3 (age 300-500 Myr) in NGC 7252 is the most luminous
star cluster known to date. Dynamical mass estimates result in 8 +/- 2 * 10^7
M_sun. With an effective radius of about 18 pc and a velocity dispersion of 45
km/s this object is rather one of the recently discovered ultra-compact dwarf
(UCD) galaxies than a star cluster. In our model we propose a formation
scenario for W3. Observations of interacting galaxies reveal regions of strong
star formation forming dozens up to hundreds of star clusters in confined
regions of several hundred parsec in diameter. The total mass of new stars in
these regions can reach 10^7 or even 10^8 solar masses. By means of numerical
simulations we have shown that the star clusters in these regions merge on
short time-scales forming objects like UCD galaxies or W3.
","[{""version"":""v1"",""created"":""Sun, 14 Nov 2004 17:35:55 GMT""}]","2007-05-23"
"astro-ph/0411383","Julien Devriendt E. G.","A. Slyz (Oxford), J. Devriendt (CRA Lyon), Greg Bryan (Columbia),
  Joseph Silk (Oxford)","Towards simulating star formation in the interstellar medium","18 pages, 15 figures, to appear in MNRAS, high res version available
  from http://www-astro.physics.ox.ac.uk/~slyz/ISMpaper","Mon.Not.Roy.Astron.Soc. 356 (2005) 737-752","10.1111/j.1365-2966.2004.08494.x",,"astro-ph",,"  As a first step to a more complete understanding of the local physical
processes which determine star formation rates (SFRs) in the interstellar
medium (ISM), we have performed controlled numerical experiments consisting of
hydrodynamical simulations of a kilo-parsec scale, periodic, highly supersonic
and ""turbulent"" three-dimensional flow. Using simple but physically motivated
recipes for identifying star forming regions, we convert gas into stars which
we follow self-consistently as they impact their surroundings through
supernovae and stellar winds. We investigate how various processes (turbulence,
radiative cooling, self-gravity, and supernovae feedback) structure the ISM,
determine its energetics, and consequently affect its SFR. We find that the
one-point statistical measurement captured by the probability density function
(PDF) is sensitive to the simulated physics. Aside from its effect on the
density structure of the medium, including self-gravity and/or supernovae
feedback changes the dynamics of the medium by halting the decay of the kinetic
energy. Since we find that the SFR depends most strongly on the underlying
velocity field, the SFR declines in the runs lacking a means to sustain the
kinetic energy, and the subsequent high density constrasts. This strong
dependence on the gas velocity dispersion is in agreement with Silk's formula
for the SFR (Silk 2001) which also takes the hot gas porosity, and the average
gas density as important parameters. Measuring the porosity of the hot gas for
the runs with supernovae feedback, we compare Silk's model for the SFR to our
measured SFR and find agreement to better than a factor two.
","[{""version"":""v1"",""created"":""Sun, 14 Nov 2004 18:41:41 GMT""}]","2009-11-10"
"astro-ph/0411384","Richard J. Mathar","Richard J. Mathar","Atmospheric Refraction Path Integrals in Ground-Based Interferometry","16 pages, 14 Figures, aastex","Baltic Astron. 14 (2005) 277-298",,,"astro-ph",,"  The basic effect of the earth's atmospheric refraction on telescope operation
is the reduction of the true zenith angle to the apparent zenith angle,
associated with prismatic aberrations due to the dispersion in air. If one
attempts coherent superposition of star images in ground-based interferometry,
one is in addition interested in the optical path length associated with the
refracted rays. In a model of a flat earth, the optical path difference between
these is not concerned as the translational symmetry of the setup means no net
effect remains.
  Here, I evaluate these interferometric integrals in the more realistic
arrangement of two telescopes located on the surface of a common earth sphere
and point to a star through an atmosphere which also possesses spherical
symmetry. Some focus is put on working out series expansions in terms of the
small ratio of the baseline over the earth radius, which allows to bypass some
numerics which otherwise is challenged by strong cancellation effects in
building the optical path difference.
","[{""version"":""v1"",""created"":""Sun, 14 Nov 2004 20:46:20 GMT""}]","2007-05-23"
"astro-ph/0411385","Ramesh Narayan","Ramesh Narayan","Low-Luminosity Accretion in Black Hole X-ray Binaries and Active
  Galactic Nuclei","To appear in ""From X-ray Binaries to Quasars: Black Hole Accretion on
  All Mass Scales"" edited by T. Maccarone, R. Fender, L. Ho, to be published as
  a special edition of ""Astrophysics and Space Science"" by Kluwer","Astrophys.Space Sci. 300 (2005) 177-188","10.1007/s10509-005-1178-7",,"astro-ph",,"  At luminosities below a few percent of Eddington, accreting black holes
switch to a hard spectral state which is very different from the soft
blackbody-like spectral state that is found at higher luminosities. The hard
state is well-described by a two-temperature, optically thin, geometrically
thick, advection-dominated accretion flow (ADAF) in which the ions are
extremely hot (up to $10^{12}$ K near the black hole), the electrons are also
hot ($\sim10^{9-10.5}$ K), and thermal Comptonization dominates the X-ray
emission. The radiative efficiency of an ADAF decreases rapidly with decreasing
mass accretion rate, becoming extremely low when a source reaches quiescence.
ADAFs are expected to have strong outflows, which may explain why relativistic
jets are often inferred from the radio emission of these sources. It has been
suggested that most of the X-ray emission also comes from a jet, but this is
less well established.
","[{""version"":""v1"",""created"":""Sun, 14 Nov 2004 20:55:32 GMT""}]","2009-11-10"
"astro-ph/0411386","Ricardo Demarco","R. Demarco, P. Rosati, C. Lidman, N. L. Homeier, E. Scannapieco, N.
  Benitez, V. Mainieri, M. Nonino, M. Girardi, S. A. Stanford, P. Tozzi, S.
  Borgani, J. Silk, G. Squires and T. J. Broadhurst","A VLT spectroscopic survey of RX J0152.7-1357, a forming cluster of
  galaxies at z=0.837","16 pages. 13 figures. Accepted for publication in Astronomy &
  Astrophysics. Tables 4 and 5 available in printed version. Corrected typos
  and missing references","Astron.Astrophys.432:381-394,2005","10.1051/0004-6361:20041931",,"astro-ph",,"  We present the results of an extensive spectroscopic survey of RX
J0152.7-1357, one of the most massive distant clusters of galaxies known.
Multi-object spectroscopy, carried out with FORS1 and FORS2 on the ESO Very
Large Telescope (VLT), has allowed us to measure more than 200 redshifts in the
cluster field and to confirm 102 galaxies as cluster members. The mean redshift
of the cluster is $z=0.837 \pm 0.001$ and we estimate the velocity dispersion
of the overall cluster galaxy distribution to be $\sim 1600 \mathrm{km \
s^{-1}}$. The distribution of cluster members is clearly irregular, with two
main clumps that follow the X-ray cluster emission mapped by Chandra. A third
clump of galaxies to the east of the central structure and at the cluster
redshift has also been identified. The two main clumps have velocity
dispersions of $\sim919$ and $\sim737 \mathrm{km s^{-1}}$ respectively, and the
peculiar velocity of the two clumps suggests that they will merge into a single
more massive cluster. A segregation in the star formation activity of the
member galaxies is observed. All star forming galaxies are located outside the
high-density peaks, which are populated only by passive galaxies. A population
of red galaxies (belonging to the cluster red sequence) with clear
post-starburst spectral features and [OII] ($\lambda$3727) emission lines is
observed in the outskirts of the cluster. Two AGNs, which were previously
confused with the diffuse X-ray emission from the intracluster medium in ROSAT
and BeppoSAX observations, are found to be cluster members.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2004 01:27:39 GMT""},{""version"":""v2"",""created"":""Thu, 18 Nov 2004 16:01:30 GMT""}]","2009-06-16"
"astro-ph/0411387","Chenzhou Cui","Chenzhou Cui (1), Yongheng Zhao (1), Xiaoqian Wang (1), Jian Sang (1),
  Ze Luo (2) (1. National Astronomical Observatories of China; 2. Computer
  Network Information Center, CAS.)","Integrating Existing Software Toolkits into VO System","9 pages, 3 figures, will be published in SPIE 2004 conference
  proceedings",,"10.1117/12.550970",,"astro-ph",,"  Virtual Observatory (VO) is a collection of interoperating data archives and
software tools. Taking advantages of the latest information technologies, it
aims to provide a data-intensively online research environment for astronomers
all around the world.
  A large number of high-qualified astronomical software packages and libraries
are powerful and easy of use, and have been widely used by astronomers for many
years. Integrating those toolkits into the VO system is a necessary and
important task for the VO developers.
  VO architecture greatly depends on Grid and Web services, consequently the
general VO integration route is ""Java Ready - Grid Ready - VO Ready"". In the
paper, we discuss the importance of VO integration for existing toolkits and
discuss the possible solutions. We introduce two efforts in the field from
China-VO project, ""gImageMagick"" and "" Galactic abundance gradients statistical
research under grid environment"". We also discuss what additional work should
be done to convert Grid service to VO service.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2004 03:41:19 GMT""}]","2009-11-10"
"astro-ph/0411388","Combes Francoise","F. Combes (Observatoire de Paris, LERMA)","Efficiency of the dynamical mechanism","6 pages, 3 figures, to be published in ""Starbursts - From 30 Doradus
  to Lyman break galaxies"", ed. R. de Grijs and R. Gonzalez-Delgado",,"10.1007/1-4020-3539-X_29",,"astro-ph",,"  The most extreme starbursts occur in galaxy mergers, and it is now
acknowledged that dynamical triggering has a primary importance in star
formation. This triggering is due partly to the enhanced velocity dispersion
provided by gravitational instabilities, such as density waves and bars, but
mainly to the radial gas flows they drive, allowing large amounts of gas to
condense towards nuclear regions in a small time scale. Numerical simulations
with several gas phases, taking into account the feedback to regulate star
formation, have explored the various processes, using recipes like the Schmidt
law, moderated by the gas instability criterion. May be the most fundamental
parameter in starbursts is the availability of gas: this sheds light on the
amount of external gas accretion in galaxy evolution. The detailed mechanisms
governing gas infall in the inner parts of galaxy disks are discussed.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2004 07:50:18 GMT""}]","2015-11-11"
