"astro-ph/0412646","F. A. Chishtie","S. R. Valluri, F. A. Chishtie, A. Vajda","An analytic study of the gravitational wave pulsar signal with spin down
  effects","9 pages, added acknowledgements",,,,"astro-ph gr-qc",,"  In this work, we present the analytic treatment of the Fourier Transform (FT)
of the Gravitational Wave (GW) signal from a pulsar including spin down
"astro-ph/0412671","Kris Sigurdson","Kris Sigurdson (Caltech)","How Dark is 'Dark'? Electromagnetic Interactions in the Dark Sector","12 pages, 7 figures. Enlarged figures, minor changes, and references
  added. Matches version to be published in the proceedings of DARK 2004, the
  Fifth International Heidelberg Conference on Dark Matter in Astro and
  Particle Physics, held October 3-9, 2004 at Texas A&M University, College
  Station, TX, USA",,,,"astro-ph hep-ph",,"  We review the physical and cosmological consequences of two possible
electromagnetic couplings to the dark sector: (i) a neutral lightest
dark-matter particle (LDP) with nonzero electric and/or magnetic dipole moments
and (ii) a charged next-to-lightest dark-matter particle (NLDP) which decays to
a neutral LDP. For scenario (i) we find that a relatively light particle with
mass between a few MeV and a few GeV and an electric or magnetic dipole as
large as $\sim 3\times 10^{-16}e$ cm (roughly $1.6\times10^{-5} \mu_B$)
satisfies experimental and observational bounds. In scenario (ii), we show that
charged-particles decaying in the early Universe result in a suppression of the
small-scale matter power spectrum on scales that enter the horizon prior to
decay. This leads to either a cutoff in the matter power spectrum, or if the
charged fraction is less than unity, an effect in the power spectrum that might
resemble a running (scale-dependent) spectral index in small-scale data.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:59:14 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jan 2005 03:24:56 GMT""}]","2007-05-23"
"astro-ph/0412672","Shiho Kobayashi","Ryo Takagi and Shiho Kobayashi","Bulk Compton Emission in the GRB Internal Shock Model","12 pages, 2 figures, 2 tables, accepted for publication in ApJL","Astrophys.J. 622 (2005) L25-L28","10.1086/429587",,"astro-ph",,"  We investigate the role of the bulk Compton-scattering process in the
internal shock model. We numerically show that the radiation field created by
internal shocks does not affect the efficiency of the energy conversion in the
shocks even if fireball outflows have highly nonuniform velocity distributions.
However, the bulk Compton-scattering produces an additional high energy
component especially when variability in the outflows arises because of a
modulation of the mass injected into a constant energy flow. We show that an
isotropic energy of $10^{50-51}$ ergs could be radiated in the range of
100MeV-GeV through the scattering process, provided that the shell's Lorentz
factor varies between 10 and $10^4$.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:59:32 GMT""},{""version"":""v2"",""created"":""Sun, 2 Jan 2005 01:35:06 GMT""},{""version"":""v3"",""created"":""Fri, 11 Feb 2005 19:48:34 GMT""}]","2009-11-10"
"astro-ph/0412673","Francisco Colomer","M.K. Argo (1), A. Pedlar (1), T.W.B. Muxlow (1), R.J. Beswick (1), S.
  Aalto (2), K. Wills (3), R. Booth (2) ((1) Jodrell Bank Observatory, UK, (2)
  Onsala Space Observatory, Sweden, (3) University of Sheffield, UK)","OH in Messier 82","2 pages. 2 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 151-152. Needs evn2004.cls",,,,"astro-ph",,"  Several new main line OH masers have been detected in the nearby starburst
galaxy M82. Eight masers have been detected to 5 sigma, six of which are new
detections. Observations covering both the 1665 and 1667 MHz lines with both
the Very Large Array (VLA) and the Multi-Element Radio Linked Interferometer
Network (MERLIN) have been used to accurately measure the positions and
velocities of these features. Following analysis of the data, another six
objects below 5 sigma, but with velocities consistent with the distribution
inferred from the more certain detections, have been detected. These are
classified as possible detections.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 08:48:52 GMT""}]","2007-05-23"
"astro-ph/0412674","Francisco Colomer","S. Kameno (1), M. Inoue (1), Z.-Q. Shen (2), S. Sawada-Satoh (3), K.
  Wajima (4) ((1) National Astronomical Observatory of Japan, (2) Shanghai
  Astronomical Observatory, China, (3) Academia Sinica Institute of Astronomy
  and Astrophysics, Taiwan; 4: Korea Astronomy Observatory)","Multi-Frequency VLBI Observations of GHz-Peaked Spectrum Sources","2 pages. 3 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 157-158. Needs evn2004.cls",,,,"astro-ph",,"  We report results of pentachromatic VLBI survey for 18 GHz-peaked spectrum
sources. Spectral fitting at every pixel across five frequencies allows us to
illustrate distribution of optical depth in terms of free-free absorption or
synchrotron self absorption. Quasars and Seyfert 1 sources show one-sided
morphology with a core at the end where the optical depth peaks. Radio galaxies
and Seyfert 2 show symmetric double-sided jets with a optically thick core at
the center.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 09:01:47 GMT""}]","2007-05-23"
"astro-ph/0412675","Francisco Colomer","T. An (1), J.-H. Zhao (2), X.-Y. Hong (1), Z.-Q. Shen (1), W.M. Goss
  (3), S.Roy (4), A.P. Rao (4) ((1) Shanghai Astronomical Observatory, China,
  (2) Harvard-Smithsonian CfA, USA, (3) NRAO-AOC, USA, (4) National Center for
  Radio Astrophysics (TIFR), India)","The simultaneous VLA observations of Sgr A* from 90 to 0.7 cm","2 pages. 1 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 159-160. Needs evn2004.cls",,,,"astro-ph",,"  We present a spectrum of Sgr A* observed simultaneously on June 17, 2003 at
wavelengths from 90 to 0.7 cm with the VLA. In the spectrum, we also include
the measurements of Sgr A* observed on the same day with the GMRT at 49 cm, the
SMA at 0.89 mm and the Keck II at 3.8 $\mu$m. The spectrum at the centimeter
wavelengths suggests the presence of a break wavelength at 3.8 cm (8 GHz). The
spectral index is alpha=0.43+-0.03 (propto nu(alpha}) at 3.8 cm and shorter
wavelengths. The spectrum between 3.8 cm and 49 cm can be described by a power
law with spectral index of alpha=0.10+-0.03$. We detected Sgr A* with
0.22+-0.06 Jy at 90 cm, suggesting a sharp decrease in flux density at the
wavelengths longer than 49 cm. The best fit to the spectrum at the wavelengths
longer than lambda_b appears to be consistent with free-free absorption by a
screen of ionized gas with a turnover wavelength at nu(tau_ff}=1) = 100 cm (300
MHz). This turnover wavelength appears to be three times longer than that of 30
cm (1 GHz) as suggested by Davies et al. (1976) based on the observations in
1994 and 1995. Our analysis suggests that stellar winds from the massive stars
near Sgr A* could modulate the flux density at the wavelengths longer than 30
cm (or frequencies below 1 GHz).
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 09:22:53 GMT""}]","2007-05-23"
"astro-ph/0412676","Francisco Colomer","A. Pushkarev (1), I. Molotov (1), M. Nechaeva, Yu. Gorshenkov, G.
  Tuccari, C. Stanghellini, X. Hong, X. Liu, J. Quick, S.Dougherty ((1) Central
  Astronomical Observatory, Pulkovo, St.-Petersburg, Russia)","LFVN observations of active galactic nuclei","2 pages. 2 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 161-162. Needs evn2004.cls",,,,"astro-ph",,"  In November 1999 we carried out VLBI observations of several quasars and BL
Lacertae objects at 1.66 GHz. Six antennas participated in the experiment (Bear
Lakes, Svetloe, Pushchino, Noto, HartRAO, and Seshan). The results for six
sources (0420+022, 0420-014, 1308+326, 1345+125, 1803+784, and DA193) are
presented and discussed.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 09:29:27 GMT""}]","2007-05-23"
"astro-ph/0412677","Francisco Colomer","A.D. Biggs (Joint Institute for VLBI in Europe, The Netherlands)","EVN observations of the lens system B0128+437","4 pages. 6 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 163-166. Needs evn2004.cls",,,,"astro-ph",,"  Previous VLBI observations of the lens system CLASS B0128+437 showed that the
lensed source had a triple sub-component structure. However, one of the images
looked very different to the others and it has been suggested that this is due
to scatter-broadening in the ISM of the lensing galaxy. We present a new 21-cm
EVN map of this system, the low frequency compared to previous epochs chosen as
the scattering should be more pronounced at this frequency. Analysis of the new
map is at an early stage, but the area of scattering in the affected image is
extremely obvious. Other points of interest that we seek to explain are the
very large sizes of the images (in conflict with the observed spectral turnover
at about 1 GHz) and the different position angle of one of the images at
different frequencies.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 09:33:23 GMT""}]","2007-05-23"
"astro-ph/0412678","Francisco Colomer","R. Mittal (1), R. Porcas (1), O. Wucknitz (2), A. Biggs (3) ((1)
  MPIfR, Germany, (2) University of Potsdam, Germany, (3) JIVE, The
  Netherlands)","A VLBI Study of the Gravitational Lens JVAS B0218+357","2 pages. 4 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 167-168. Needs evn2004.cls",,,,"astro-ph",,"  We present the results of phase-referenced VLBA+Effelsberg observations at
five frequencies of the gravitational lens B0218+357 to establish the precise
registration of the A and B lensed image positions.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 09:38:09 GMT""}]","2007-05-23"
"astro-ph/0412679","Francisco Colomer","S. Etoka (1), R.J. Cohen (1), M.D. Gray (2) ((1) Jodrell Bank
  Observatory, UK, (2) Physics Department, UMIST, UK)","MERLIN 6-GHz maser emission from W3(OH)","2 pages. 2 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 199-200. Needs evn2004.cls",,,,"astro-ph",,"  We present the preliminary results of the first alignment to milliarsecond
accuracy of the 6 GHz maser emission in OH and methanol maser lines toward
W3(OH). The identifications of Zeeman pairs allowed us to infer the actual
velocity of the OH material and the magnetic field strength at the location
where 6.7 GHz methanol maser emission arises.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 09:58:30 GMT""}]","2007-05-23"
"astro-ph/0412680","Francisco Colomer","T. Hirota (1), VERA project team (1,2) ((1) National Astronomical
  Observatory of Japan, (2) Department of Physics, Kagoshima University, Japan)","Observations of H2O maser sources in Orion-Monoceros Molecular Clouds
  with VERA","2 pages. 1 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 201-202. Needs evn2004.cls",,,,"astro-ph",,"  We present results of phase-referencing VLBI observations of water maser
sources in Orion-Monoceros Molecular Clouds with VERA (VLBI Exploration of
Radio Astrometry), which is newly constructed Japanese VLBI network. Main
topics of this poster are (1) the aim of one of the first scientific projects
for VERA ""3-Dimensional Structure and Kinematics of Orion-Monoceros Molecular
Cloud Complex""; (2) current status (sensitivity and astrometric accuracy) of
phase-referencing VLBI observations with VERA; and (3) results of VLBI
observations of water sources in Orion-Monoceros Molecular Clouds with VERA.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:02:58 GMT""}]","2007-05-23"
