"astro-ph/0412646","F. A. Chishtie","S. R. Valluri, F. A. Chishtie, A. Vajda","An analytic study of the gravitational wave pulsar signal with spin down
  effects","9 pages, added acknowledgements",,,,"astro-ph gr-qc",,"  In this work, we present the analytic treatment of the Fourier Transform (FT)
of the Gravitational Wave (GW) signal from a pulsar including spin down
"astro-ph/0412681","Francisco Colomer","Mareki Honma (VERA Project, NAOJ, Mitaka, Japan), et al","Astrometry of W49N - OH43.8-0.1 H2O maser pair with VERA","2 pages. 1 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 201-202. Needs evn2004.cls",,,,"astro-ph",,"  We present the results of multi-epoch VERA observations of W49N - OH43.8-0.1
water maser pair. Based on the dual-beam VLBI observation with VERA, we
successfully obtained the phase-referenced maps of OH43.8-0.1 with respect to
the W49N reference spot for 3 epochs with a time span of 6 months. The maps
were in good agreement with previous studies obtained with a single-beam VLBI,
and were also consistent with each other with an accuracy of about 0.2 mas.
Moreover, there are systematic, rather linear displacements of maser feature
positions, which may be the relative proper motions of maser features caused by
the Galactic rotation as well as internal motions of individual maser features.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:07:44 GMT""}]","2007-05-23"
"astro-ph/0412682","Francisco Colomer","Z. Paragi (1), R.C. Vermeulen (2), D.C. Homan (3), J.F.C. Wardle (4),
  I. Fejes (5), R.T. Schilizzi (6,7), R.E. Spencer (8), A.M. Stirling (8) ((1)
  JIVE, The Netherlands, (2) ASTRON, The Netherlands, (3) Denison Univ., USA,
  (4) Brandeis Univ., USA, (5) FOMI SGO, Hungary, (6) International SKA project
  Office, The Netherlands, (7) Leiden Obs., The Netherlands, (8) Jodrell Bank,
  UK)","Probing the polarization characteristics of SS433 on mas scales","4 pages. 1 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 221-224. Needs evn2004.cls",,,,"astro-ph",,"  We present a status report of dedicated circular polarization (CP) global
VLBI observations of SS433. The total intensity image of the source is
presented. We do not detect linear polarization in the core region of the
source. We estimate the errors in D-terms for the EVN, and its effect on the
final right-left circular polarization gain calibration. The data from this and
earlier observations are analyzed with the ""zero-V"" self-calibration technique,
in order to obtain indications for detectable CP in different regions of the
source. Our data show no evidence for strong gyro-synchrotron (GS) emission on
the size scale probed by our beam.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:14:54 GMT""}]","2007-05-23"
"astro-ph/0412683","Francisco Colomer","I.K. Brown (Jodrell Bank Observatory, University of Manchester, UK)","Microquasar Observations with MERLIN","2 pages. 5 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 235-236. Needs evn2004.cls",,,,"astro-ph",,"  A series of observations of microquasar GRS1915+105 were made by the MERLIN
telescope array in the spring of 2003 at 18 cm. The images show polarization in
the jet components, with two epochs displaying Faraday rotation of about 2500
rad/m2. This effect is a demonstration of the similarities between microquasars
and extragalactic jets.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:20:08 GMT""}]","2007-05-23"
"astro-ph/0412684","Francisco Colomer","R. M. Campbell (for the Joint Institute for VLBI in Europe)","Recent Results from the EVN MkIV Data Processor at JIVE","4 pages. 2 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 245-248. Needs evn2004.cls",,,,"astro-ph",,"  Recent achievements at the EVN MkIV data processor at JIVE include decreasing
the read-out time for the whole correlator to 0.25 seconds (or 0.125 s for half
the correlator), improving the end quality of user data (e.g., applying an
improved 2-bit van Vleck correction), developing new astronomical capabilities
(e.g., oversampling to x 4, wider-field mapping), and strengthening liaison
procedures with PIs (e.g., pipelining, the EVN Archive facility). At the same
time, the move to a disk-based EVN and regular incorporation of FTP
fringe-checks is well underway, resulting in more reliable data quality. We
will review these developments, highlighting how they may broaden the kinds of
astronomy you can do. We'll also go over some measures you can take to help you
get the most out of these new/improved features.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:33:34 GMT""}]","2007-05-23"
"astro-ph/0412685","Francisco Colomer","R. Dodson (1,2), S. Tingay (3), C. West (3), C. Phillips (4), A.
  Tzioumis (4), J. Ritakari (5), F. Briggs (6) ((1) Institute of Space and
  Astronautical Science, Japan, (2) University of Tasmania, Australia, (3)
  Swinburne University of Technology, Australia, (4) Australia Telescope
  National Facility, (5) Metsahovi Radio Observatory, Finland, (6) The
  Australian National University)","The Australian experience with the PC-EVN recorder","4 pages. 3 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 253-256. Needs evn2004.cls",,,,"astro-ph",,"  We report on our experiences using the Metsahovi Radio Observatory's (MRO)
VLBI Standard Interface (VSI, Whitney 2002) recorder in a number of
astronomical applications. The PC-EVN device is a direct memory access (DMA)
interface which allows 512 megabit per second (Mbps) or better recording to
""off the shelf"" PC components. We have used this setup to record at 640 Mbps
for a pulsar coherent dispersion system and at 256 Mpbs for a global VLBI
session. We have also demonstrated recording at 512 Mbps and will shortly form
cross correlations between the CPSR-II and the PC-EVN systems.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:47:03 GMT""}]","2007-05-23"
"astro-ph/0412686","Francisco Colomer","A. Szomoru, A. Biggs, M.A. Garrett, H.J. van Langevelde, F. Olnon, Z.
  Paragi, S. Parsley, S. Pogrebenko, C. Reynolds (Joint Institute for VLBI in
  Europe, The Netherlands)","From truck to optical fibre: the coming-of-age of eVLBI","4 pages. 3 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 257-260. Needs evn2004.cls",,,,"astro-ph",,"  Spurred by the advent of disk-based recording systems and the nearly
explosive increase of internet bandwidth, eVLBI (Parsley et al. 2004) has
undergone a remarkable development over the past two years. From ftp-based
transfers of small amounts of astronomical data, through near real-time
correlation (disk-buffered at the correlator), it has culminated this spring in
the first three telescope real-time correlation at JIVE (Onsala, Westerbork and
Jodrell Bank). In this paper we will give a review of this development and the
current state of affairs. We will also address the current limitations and the
way we may improve both bandwidth and reliability and finally we will discuss
the opportunities a true high-bandwidth real-time VLBI correlator will provide.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 10:55:35 GMT""}]","2007-05-23"
"astro-ph/0412687","Francisco Colomer","R.G. Strom (ASTRON, and Astronomical Institute, University of
  Amsterdam, The Netherlands)","What is the primary beam response of an interferometer with unequal
  elements?","2 pages. no figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 273-274. Needs evn2004.cls",,,,"astro-ph",,"  The EVN stations encompass elements with a range of diameters, even including
an interferometer (the Westerbork Telescope, with up to 14 elements used
together as a tied array). In combination, the various station pairs will each
produce their own primary beam envelopes, with which the interferometer pattern
is modulated. People sometimes forget that in the case of unequal elements,
this combined primary beam envelope is different from the beam of each element
separately. The reason for this is reviewed, the results for a number of
station pairs are summarized, and some of the practical consequences are
discussed. The increased interest in wide-field applications, as illustrated by
several recent results, underlines the need for a proper determination of the
interferometer beam envelope.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:00:58 GMT""}]","2007-05-23"
"astro-ph/0412688","Francisco Colomer","M. Inoue (National Astronomical Observatory of Japan, Japan)","East Asian VLBI Activities","2 pages. no figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 279-280. Needs evn2004.cls",,,,"astro-ph",,"  The VLBI activities in the East Asia region are planning to coordinate among
VLBI groups and institutes in China, Japan, and Korea. In these countries, some
new projects are going to start or discussed, and some types of collaboration
have been already done individually. These new projects are briefly introduced.
Under these circumstances, an organization has been discussed for the
coordinated efforts to produce fruitful results more effectively.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:04:01 GMT""}]","2007-05-23"
"astro-ph/0412689","Francisco Colomer","H.-G. Kim (1), S.-T. Han (1), B. W. Sohn (1,2), S.-J. Oh, D.-H. Je
  (1), S.-O. Wi (1), M.-G. Song (1) ((1) Korea Astronomy Observatory, (2)
  Max-Planck-Institut fur Radioastronomie, Germany)","Construction of the Korean VLBI Network (KVN)","4 pages. 5 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 281-284. Needs evn2004.cls",,,,"astro-ph",,"  Korea's new VLBI project to construct the Korean VLBI Network (KVN) started
in 2001, as a 7-year project that is fully funded by our government. We plan to
build 3 new high-precision radio telescopes of 21-m diameter in 3 places in
Korea, which will be exclusively used for VLBI observations. We will install
the 2/8, 22 and 43 GHz HEMT receivers within 2007 as a first target, and later
we will expand the receiving frequency up to 86 and 129 GHz for astronomical,
geodetic, and earth science VLBI research. The millimeter-wave VLBI will be the
ultimate goal of KVN. For the front-ends, we are going to install a
multi-channel receiver system that employs low-pass filters within a
quasi-optical beam transportation system. This receiver system will give
reliable phase calibrations for millimeter-wave VLBI as well as enable
simultaneous multi-frequency band observations. The hard-disk type new Mark 5
will be used as the main recorder of KVN. We have completed the design of the
KVN DAS system of 2 Gsps sampling rate, which will use 4 data streams to meet
the multi-channel requirement. A VERA type DAS modified for Mark 5 recorder is
also under consideration. A new correlator project for KVN was recently
approved from Korean government, and will start in the second half of 2004.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:09:33 GMT""}]","2007-05-23"
"astro-ph/0412690","Francisco Colomer","Y. Murata (1), H.Hirabayashi (1), Next Generation Space VLBI Working
  Group (1,2) ((1) Japan Aerospace Exploration Agency, Institute of Space and
  Astronautical Science, Japan, (2) National Astronomical Observatory of Japan)","Spacecraft Design of VSOP-2","2 pages. 2 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 289-290. Needs evn2004.cls",,,,"astro-ph",,"  As presented by Hirabayashi et al. (2004) these proceedings, the VSOP-2
mission is currently being planned. Various kinds of developments are being
made for the misson, and here we introduce the large antenna, fast switching
scheme using CMG, low noise receivers, gigabit data transmission, and high data
rate sampling on-board. We are also studying the system configuration of the
VSOP-2 satellite and the orbit appropriate for the expected launch vehicle, the
M-V rocket. VSOP-2 science goals include imaging the accretion disks around the
massive blackholes in the nuclei of the active galaxies, studies of magnetic
field orientation and evolution in jets, and the highest resolution studies of
spectral line masers and mega-masers. Here we describe the design and the
development of the space antenna, high speed sampler, and the satellite system.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:14:09 GMT""}]","2007-05-23"
"astro-ph/0412691","Francisco Colomer","D. Lapsley, A. Whitney (MIT Haystack Observatory, USA)","VSI-E Software Suite","2 pages. 1 figure. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 291-293. Needs evn2004.cls",,,,"astro-ph",,"  As broadband access to high speed research and education networks has become
increasingly available to radio telescopes around the world the use of e-VLBI
has also increased. High bandwidth e-VLBI experiments have been achieved across
wide areas (Whitney et al., 2003). e-VLBI has also been used for the transfer
of data from ""production"" experiments. As the use of e-VLBI becomes more and
more prevalent, the need to have some form of standard framework for
facilitating interoperability between various acquisition, transport and
processing systems around the world is becoming increasingly important. This is
the motivation behind the VLBI Standard Interface - Electronic (VSI-E)
standard. VSI-E is currently in draft form [\cite{bib-vsie}] and is going
through the standards process within the VLBI community. In this poster, we
describe an initial reference implementation of the VSI-E protocol. The
implementation has been done using the C/C++ language and is in the form of a
re-useable library. It has been developed on the Linux platform and can be
easily ported to most POSIX-compliant platforms. The reference implementation
also includes a high-performance application level transport protocol. That can
be used to transport data within the framework of VSI-E.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:19:28 GMT""}]","2007-05-23"
"astro-ph/0412692","Francisco Colomer","T. Pisanu (1), M. Morsiani (1), C. Pernechele (2), F. Buffa (2), G.
  Vargiu (1) ((1) Institue of Radio Astronomy (CNR), Italy, (2) Astronomical
  Observatory of Cagliari, Italy)","How to improve the High Frequency capabilities of SRT","2 pages. no figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 293-294. Needs evn2004.cls",,,,"astro-ph",,"  The SRT (Sardinia Radio Telescope) is a general purpose, fully steerable,
active surface equipped, 64 meters antenna, which is in an advanced
construction state near Cagliari (Sardinia - Italy). It will be an antenna
which could improve a lot the performances of the EVN network, particularly at
frequencies higher than 22 GHz. The main antenna geometry consist of a shaped
reflector system pair, based on the classical parabola-ellipse Gregorian
configuration. It is designed to be able to operate with a good efficiency in a
frequency range from 300 MHz up to 100 GHz. This frequency range, is divided in
two parts which define also two antenna operational modes, one up to 22 GHz
with a minimal amount of accessory instrumentation, and the other up to 100 GHz
with a full complement of instrumentation. The goal is to make it possible to
build a telescope operable up to 22 GHz, and then upgrade it at a future date
to operate at frequencies up to 100 GHz. In order to get these goals, the SRT
Metrology group is studying and developing different types of strategies,
instrumentation, and techniques for measuring and reducing the various
components of pointing and efficiency errors, taking advantage also from
experiences developed in other radio telescopes, like GBT (Green Bank
Telescope, USA), LMT (Large Millimiter Telescope, MEX), and IRAM (Institut de
Radio Astronomie Millimetrique, Fr). Many of those system will be installed and
tested at the 32 meters radio-telescope in Medicina (Bologna), before of their
implementation on SRT.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:24:29 GMT""}]","2007-05-23"
"astro-ph/0412693","Francisco Colomer","W. Schluter (1), N. Vandenberg (2) ((1) Bundesamt fur Kartographie und
  Geodaesie, Fundamentalstation Wettzell, Germany, (2) NVI, Inc./ Goddard Space
  Flight Center, USA)","IVS Products for Precise Global Reference Frames","4 pages. 1 figure. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 309-312. Needs evn2004.cls",,,,"astro-ph",,"  VLBI plays a unique and fundamental role in the maintenance of global
reference frames which are required for precise positioning in many research
areas related e.g to the understanding and monitoring of global changes, to
geodesy, to space missions etc. The International VLBI Service for Geodesy and
Astrometry coordinates internationally the VLBI components and resources and is
tasked by IAG and IAU for the provision of products describing the Celestial
Reference Frame through positions of quasars and their changes with time and
also for products describing the rotation of the Earth in space. This paper
summarises today's status of the products, achieved over the last years by
evolving the observing programs. It points out the activities to improve
further on the product quality to meet future service requirements, which will
come up with the need for highly precise global reference frames.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:31:30 GMT""}]","2007-05-23"
"astro-ph/0412694","Francisco Colomer","I. Molotov (1), G. Tuccari (2), M. Nechaeva (3), N. Dugin (3), A.
  Konovalenko (4), I. Falkovich (4), Y. Gorshenkov (5), X. Liu (6), A. Volvach
  (7), V. Agapov (8), A. Pushkarev (1), V. Titenko (1,8), S. Buttacio (2), V.
  Rumyantsev (7), I. Shmeld (9) ((1) Central Astronomical Observatory, Pulkovo,
  Russia, (2) Istituto di Radioastronomia, Noto, Italy, (3) Research Institute,
  N. Novgorod, Russia, and others not listed)","First results of European VLBI radar observations of space objects","2 pages. 3 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 329-330. Needs evn2004.cls",,,,"astro-ph",,"  Since 1999 we carried out seven trial VLBI radar experiments under LFVN
project. The aim of this work is to adjust new research technique for
investigating the Solar system bodies (planets, asteroids, space debris). It is
planned to obtain the information on their movement parameters, proper rotation
and structure of surface. The transmitter of Evpatoria RT-70 sounded the space
objects. Array of Bear Lakes RT-64, Noto RT-32, Urumqi RT-25, Simeiz RT-22
received the echo-signals. The data were processed with NIRFI-3 Mk-2 correlator
in N. Novgorod, Russia and NRTV processor in Noto, Italy. The first results of
these experiments are presented.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 11:58:28 GMT""}]","2007-05-23"
"astro-ph/0412695","Simon Vaughan","S. Vaughan (1), A. C. Fabian (2), K. Iwasawa (2), ((1) University of
  Leicester, (2) IoA, Cambridge)","Rapid X-ray Variability of Seyfert 1 Galaxies","To appear in From X-ray Binaries to Quasars: Black Hole Accretion on
  All Mass Scales, ed. T. J. Maccarone, R. P. Fender, and L. C. Ho (Dordrecht:
  Kluwer)","Astrophys.Space Sci.300:119-125,2005","10.1007/s10509-005-1211-x",,"astro-ph",,"  The rapid and seemingly random fluctuations in X-ray luminosity of Seyfert
galaxies provided early support for the standard model in which Seyferts are
powered by a supermassive black hole fed from an accretion disc. However, since
EXOSAT there has been little opportunity to advance our understanding of the
most rapid X-ray variability. Observations with XMM-Newton have changed this.
We discuss some recent results obtained from XMM-Newton observations of Seyfert
1 galaxies. Particular attention will be given to the remarkable similarity
found between the timing properties of Seyferts and black hole X-ray binaries,
including the power spectrum and the cross spectrum (time delays and
coherence), and their implications for the physical processes at work in
Seyferts.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 12:03:41 GMT""}]","2009-09-17"
"astro-ph/0412696","Francisco Colomer","M.B. Nechaeva (1), V.G. Gavrilenko (2), Y.N. Gorshenkov (3). B.N.
  Lipatov (1), L. Xiang (4), I.E. Molotov (5), A.B. Pushkarev (5), R. Shanks
  (6), G. Tuccari (7) ((1) Radiophysical Research Institute, Russia, (2)
  Nizhnij Novgorod State University, Russia, (3) Special Research Bureau,
  Russia, (4) Urumqi Astronomical Observatory, China, (5) Central Astronomical
  Observatory, Russia, (6) DRAO, Canada, (7) IRA, Noto, Italy)","VLBI-experiments on research of solar wind plasma","4 pages. 4 figures. Proceedings of the 7th European VLBI Network
  Symposium held in Toledo, Spain on October 12-15, 2004. Editors: R.
  Bachiller, F. Colomer, J.-F. Desmurs, P. de Vicente (Observatorio Astronomico
  Nacional), p. 333-336. Needs evn2004.cls",,,,"astro-ph",,"  This work devotes to investigations of solar corona and solar wind plasma by
the method of radio probing with using of very long baseline interferometry
(VLBI). We performed the theoretical calculation of power spectrum of
interferometric response to radio source emission, passed through the turbulent
medium. Data of theoretical analysis are compared with results of international
VLBI experiments on investigations of solar wind plasma. The observations were
realized in 1998, 1999, 2000 with participation of radio telescopes, included
at Low Frequency VLBI Network (LFVN): Bear Lakes (RT-64, Russia), Puschino
(RT-22, Russia), Urumqi (RT-25, China), Noto (RT-32, Italy), Shanghai (RT-25,
China) and others. Preprocessing was carried out with using of S2 correlator at
Penticton (Canada). Post processing of experimental data was performed at RRI
(Russia) and was aimed to obtain value of solar wind velocity and index of
spatial spectrum of electron density fluctuations.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 12:08:34 GMT""}]","2007-05-23"
"astro-ph/0412697","Simon Vaughan","S. Vaughan (University of Leicester)","A simple test for periodic signals in red noise","13 pages. 12 figures. Accepted for publication in A&A",,"10.1051/0004-6361:20041453",,"astro-ph",,"  We demonstrate a simple method for testing the significance of peaks in the
periodogram of red noise data. The procedure was designed to test for spurious
periodicities in X-ray light curves of active galaxies, but can be used quite
generally to test for periodic components against a background noise spectrum
assumed to have a power law shape. The method provides a simple and fast test
of the significance of candidate periodic signals in short, well-sampled time
series such as those obtained from XMM-Newton observations of Seyfert galaxies,
without the need for Monte Carlo simulations. A full account is made of the
number of trials and the uncertainties inherent to the model fitting. Ignoring
these subtle effects can lead to substantially overestimated significances.
These difficulties motivate us to demand high standards of detection (minimum
>99.9 per cent confidence) for periodicities in sources that normally show red
noise spectra. The method also provides a simple means to estimate the power
spectral index, which may be an interesting parameter itself, regardless of the
presence/absence of periodicities.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 12:23:58 GMT""}]","2009-11-10"
"astro-ph/0412698","Rainer Spurzem","R. Spurzem, M. Giersz, K. Takahashi, A. Ernst","Anisotropic gaseous models of tidally limited star clusters --
  comparison with other methods","13 pages, 14 figures, added two figures, updated conclusion and
  discussion, accepted for publication in MNRAS",,"10.1111/j.1365-2966.2005.09631.x",,"astro-ph",,"  We present new models of the evolution and dissolution of star clusters
evolving under the combined influence of internal relaxation and external tidal
fields, using the anisotropic gaseous model based on the Fokker-Planck
approximation, and a new escaper loss cone model. This model borrows ideas from
loss cones of stellar distributions near massive black holes, and describes
physical processes related to escaping stars by a simple model based on two
timescales and a diffusion process. We compare our results with those of direct
$N$-body models and of direct numerical solutions of the orbit-averaged
Fokker-Planck equation. For this comparative study we limit ourselves to
idealized single point mass star clusters, in order to present a detailed study
of the physical processes determining the rate of mass loss, core collapse and
other features of the system's evolution. With the positive results of our
study the path is now open in the future to use the computationally efficient
gaseous models for future studies with more realism (mass spectrum, stellar
evolution).
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 13:29:19 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jan 2005 14:48:10 GMT""},{""version"":""v3"",""created"":""Wed, 4 May 2005 15:53:00 GMT""},{""version"":""v4"",""created"":""Fri, 28 Oct 2005 23:15:10 GMT""}]","2009-11-10"
"cond-mat/0412732","Radhakrishnan Nagarajan","Radhakrishnan Nagarajan, Rajesh G. Kavasseri","Minimizing the effect of trends on detrended fluctuation analysis of
  long-range correlated noise","15 pages, 13 Figures","Physica A, 2005","10.1016/j.physa.2005.01.041",,"cond-mat.stat-mech",,"  Detrended fluctuation analysis (DFA) has been proposed as a robust technique
to determine possible long-range correlations in power-law processes [1].
However, recent studies have reported the susceptibility of DFA to trends [2]
which give rise to spurious crossovers and prevent reliable estimation of the
scaling exponents. Inspired by these reports, we propose a technique based on
singular value-decomposition (SVD) of the trajectory matrix to minimize the
effect of linear, power-law, periodic and also quasi-periodic trends
superimposed on long-range correlated power-law noise. The effectiveness of the
technique is demonstrated on publicly available data sets [2].
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 17:50:42 GMT""}]","2007-05-23"
"cond-mat/0412735","Puru Gujrati","P. D. Gujrati","Lack of Stability in the Stillinger-Weber Analysis, and a Stable
  Analysis of the Potential Energy Landscape","4 pages; no figure",,,"UATP/04-06","cond-mat.stat-mech cond-mat.dis-nn",,"  We examine the Stillinger-Weber analysis of the potential energy landscape
for its stability and conclude that it does not provide a stable description of
the system as the free energy slope and curvature vanish simultaneously. An
alternative analysis developed recently by us involving complexity provides a
stable description with complexity a monotonic increasing function of
temperature.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 16:49:08 GMT""}]","2007-05-23"
"cond-mat/0412743","Natalia Berloff","Natalia G. Berloff","Nucleation of solitary wave complexes in two-component mixture
  Bose-Einstein condensates","4 pages, 2 figures, 1 table",,,,"cond-mat.other cond-mat.soft",,"  Two-component mixtures of Bose-Einstein condensates are shown to support
solitary wave complexes that move with a constant velocity preserving their
form. I obtain the families of such solitary wave complexes in two-dimensional
two-component mixture condensates. These solutions are classified according to
the structure of the wavefunction in each component. I show that these
complexes nucleate from the surface of the disk when it moves supercritically,
therefore, suggesting a mechanism by which these waves can be obtained in
condensates by a moving laser beam. The condition for such a nucleation is
derived analytically. The flow for supercritical disk velocities is computed
numerically. The process of a boundary layer separation with emission of either
vortex pairs in each component or a vortex pair in one component and a ``slaved
wave'' in the other component is elucidated.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 17:36:25 GMT""}]","2007-05-23"
"cond-mat/0412744","Erik Luijten","Jiwen Liu and Erik Luijten (University of Illinois at
  Urbana-Champaign)","Rejection-free Geometric Cluster Algorithm for Complex Fluids",,"Phys. Rev. Lett. 92, 035504 (2004)","10.1103/PhysRevLett.92.035504",,"cond-mat.stat-mech cond-mat.soft",,"  We present a novel, generally applicable Monte Carlo algorithm for the
simulation of fluid systems. Geometric transformations are used to identify
clusters of particles in such a manner that every cluster move is accepted,
irrespective of the nature of the pair interactions. The rejection-free and
non-local nature of the algorithm make it particularly suitable for the
efficient simulation of complex fluids with components of widely varying size,
such as colloidal mixtures. Compared to conventional simulation algorithms,
typical efficiency improvements amount to several orders of magnitude.
","[{""version"":""v1"",""created"":""Wed, 29 Dec 2004 20:31:03 GMT""}]","2016-08-31"
"cond-mat/0412745","Daniel ben-Avraham","Eric Brunet and Daniel ben-Avraham","On the Relation between One-Species Diffusion-Limited Coalescence and
  Annihilation in One Dimension",,"J. Phys. A 38, 3247-3252 (2005)","10.1088/0305-4470/38/15/001",,"cond-mat.stat-mech",,"  The close similarity between the hierarchies of multiple-point correlation
functions for the diffusion-limited coalescence and annihilation processes has
caused some recent confusion, raising doubts as to whether such hierarchies
uniquely determine an infinite particle system. We elucidate the precise
relations between the two processes, arriving at the conclusion that the
hierarchy of correlation functions does provide a complete representation of a
particle system on the line. We also introduce a new hierarchy of probability
density functions, for finding particles at specified locations and none in
between. This hierarchy is computable for coalescence, through the method of
empty intervals, and is naturally suited for questions concerning the ordering
of particles on the line.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:42:03 GMT""}]","2009-11-10"
"cond-mat/0412746","Alex Koshelev","A. E. Koshelev, A. A. Varlamov, and V. M. Vinokur","Theory of fluctuations in a two-band superconductor","11 pages, 2 figures, subm. to Phys. Rev. B","Phys. Rev. B, Vol. 72, p. 064523 (2005)","10.1103/PhysRevB.72.064523",,"cond-mat.supr-con",,"  A theory of fluctuations in two-band superconductor MgB$_{2}$ is developed.
Since the standard Ginzburg-Landau (GL) approach fails in description of its
properties, we generalize it basing on the microscopic theory of a two-band
superconductor. Calculating the microscopic fluctuation propagator, we build up
the nonlocal two-band GL functional and the corresponding time-dependent GL
equations. This allows us to calculate the main fluctuation observables such as
fluctuation specific heat and conductivity.
","[{""version"":""v1"",""created"":""Thu, 30 Dec 2004 01:42:48 GMT""}]","2009-11-10"
