"astro-ph/0401351","John F. Beacom","Pengjie Zhang and John F. Beacom (Fermilab)","Angular Correlations of the MeV Cosmic Gamma Ray Background","6 pages, 3 figures. ApJ, (2004), 614, 37","Astrophys.J. 614 (2004) 37-42","10.1086/423329",,"astro-ph hep-ph nucl-th",,"  The measured cosmic gamma ray background (CGB) spectrum at MeV energies is in
reasonable agreement with the predicted contribution from type Ia supernovae
(SNIa). But the characteristic features in the SNIa gamma ray spectrum,
weakened by integration over source redshifts, are hard to measure, and
additionally the contributions from other sources in the MeV range are
uncertain, so that the SNIa origin of the MeV CGB remains unproven. Since
different CGB sources have different clustering properties and redshift
distributions, by combining the CGB spectrum and angular correlation
measurements, the contributions to the CGB could be identified and separated.
The SNIa CGB large-scale structure follows that of galaxies. Its rms
fluctuation at degree scales has a characteristic energy dependence, ranging
from $\sim 1%$ to order of unity and can be measured to several percent
precision by proposed future satellites such as the Advanced Compton Telescope.
With the identification of the SNIa contribution, the SNIa rate could be
measured unambiguously as a function of redshift up to $z \sim 1$, by combining
both the spectrum and angular correlation measurements, yielding new
constraints on the star formation rate to even higher redshifts. Finally, we
show that the gamma ray and neutrino backgrounds from supernovae should be
closely connected, allowing an important consistency test from the measured
data. Identification of the astrophysical contributions to the CGB would allow
much greater sensitivity to an isotropic high-redshift CGB contribution arising
in extra dimension or dark matter models.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 01:09:38 GMT""},{""version"":""v2"",""created"":""Wed, 23 Jun 2004 23:35:25 GMT""},{""version"":""v3"",""created"":""Fri, 15 Oct 2004 16:30:18 GMT""}]","2009-11-10"
"astro-ph/0401352","Seiichiro Aoki","Seiichiro I. Aoki, Seiji Yashiro, & Kazunari Shibata","The Log-normal Distributions of Physical Quantities of Flare associated
  Coronal Mass Ejections (CMEs), and Flare/CME Model of Gamma-ray Bursts","12 pages, 2 figures; submitted to ApJ Letters",,,,"astro-ph",,"  We investigated the statistical distributions of physical quantities of solar
flares and associated coronal mass ejections (CMEs). We found that the
distributions of the X-ray peak fluxes of CME-related flares, their time
intervals, and speeds of associated CMEs are in good agreement with log-normal
distributions. One possible interpretation of this is that only large energetic
mass ejections can escape from the solar corona, which become CMEs in the
interplanetary space. This ``filtering effect'' may be the reason why
statistical distributions of some physical quantities are similar to log-normal
distribution. It is known that the distributions of several physical quantities
of gamma-ray bursts (GRBs) are also log-normal distributions, and that the time
variations of gamma-ray intensity in GRBs are very similar to those of hard
X-rays of solar flares. On the basis of these similarities and physical
consideration of magnetohydrodynamic properties of an accretion disk around a
black hole, which is supposed to be situated in the central engine of a GRB, we
propose a new model of the central engine of GRBs, the {\it flare/CME model},
in which GRBs are formed by nonsteady jets consisting of intermittent ejections
of mass (like solar CMEs) associated with reconnection events (like solar
flares) in the accretion disk corona. Such nonsteady MHD jets would produce
many shocks as well as local reconnection events far from the central engine.
In this model, only large energetic mass ejections can escape from the
accretion disk corona, so that statistical distributions of some physical
quantities are similar to log-normal distributions.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 10:42:24 GMT""}]","2007-05-23"
"astro-ph/0401353","Gregory Wirth","Gregory D. Wirth (1), Christopher N. A. Willmer (2), Paola Amico (1),
  Frederic H. Chaffee (1), Robert W. Goodrich (1), Shui Kwok (1), James E. Lyke
  (1), Jeff A. Mader (1), Hien D. Tran (1), Amy J. Barger (3 and 4), Lennox L.
  Cowie (3), Peter Capak (3), Alison L. Coil (5), Michael C. Cooper (5), Al
  Conrad (1), Marc Davis (5), S. M. Faber (2), Esther M. Hu (3), David C. Koo
  (2), David Le Mignant (1), Jeffrey A. Newman (5), Antoinette Songaila (3)
  ((1) W. M. Keck Observatory, (2) UCO/Lick & UC Santa Cruz (3) IfA/U. Hawaii
  (4) U. Wisconsin, Madison (5) UC Berkeley)","The Team Keck Treasury Redshift Survey of the GOODS-North Field","17 pages, 18 figures, submitted to AJ; v2 minor changes; see survey
  database at http://www2.keck.hawaii.edu/realpublic/science/tksurvey/","Astron.J.127:3121-3136,2004","10.1086/420999",,"astro-ph",,"  We report the results of an extensive imaging and spectroscopic survey in the
GOODS-North field completed using DEIMOS on the Keck II telescope. Observations
of 2018 targets in a magnitude-limited sample of 2911 objects to R=24.4 yield
secure redshifts for a sample of 1440 galaxies and AGN plus 96 stars. In
addition to redshifts and associated quality assessments, our catalog also
includes photometric and astrometric measurements for all targets detected in
our R-band imaging survey of the GOODS-North region. We investigate various
sources of incompleteness and find the redshift catalog to be 53% complete at
its limiting magnitude. The median redshift of z=0.65 is lower than in similar
deep surveys because we did not select against low-redshift targets. Comparison
with other redshift surveys in the same field, including a complementary
Hawaii-led DEIMOS survey, establishes that our velocity uncertainties are as
low as 40 km/s for red galaxies and that our redshift confidence assessments
are accurate. The distributions of rest-frame magnitudes and colors among the
sample agree well with model predictions out to and beyond z=1. We will release
all survey data, including extracted 1-D and sky-subtracted 2-D spectra, thus
providing a sizable and homogeneous database for the GOODS-North field which
will enable studies of large scale structure, spectral indices, internal galaxy
kinematics, and the predictive capabilities of photometric redshifts.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 14:10:05 GMT""},{""version"":""v2"",""created"":""Thu, 12 Feb 2004 02:37:34 GMT""}]","2009-10-16"
"astro-ph/0401354","Lennox Cowie","L.L. Cowie, A.J. Barger, E.M. Hu, P. Capak and A. Songaila","A large sample of spectroscopic redshifts in the ACS-GOODS region of the
  HDF-N","Submitted to the Astronomical Journal",,"10.1086/420997",,"astro-ph",,"  We report the results of an extensive spectroscopic survey of galaxies in the
roughly 160 square arcminute ACS-GOODS region surrounding the HDF-N. We have
identified 787 galaxies or stars with z'<24, R<24.5, or B<25 lying in the
region. The spectra were obtained with either the DEIMOS or LRIS spectrographs
on the Keck 10m telescopes. The results are compared with photometric redshift
estimates and with redshifts from the literature, as well as with the redshifts
of a parallel effort led by a group at Keck. Our sample, when combined with the
literature data, provides identifications for 1180 sources.
  We use our results to determine the redshift distributions with magnitude, to
analyze the rest-frame color distributions with redshift and spectral type, and
to investigate the dependence of the X-ray galaxy properties on the local
galaxy density in the redshift interval z=0-1.5. We find the rather surprising
result that the galaxy X-ray properties are not strongly dependent on the local
galaxy density for galaxies in the same luminosity range.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 15:20:13 GMT""}]","2009-11-10"
"astro-ph/0401355","Elena Maria Rossi","Elena M. Rossi (IoA, Cambridge), Andrei M. Beloborodov (Columbia
  University) and Martin J. Rees (IoA, Cambridge)","Heating and deceleration of GRB fireballs by neutron decay","5 pages, 2 figures; to appear in the Santa Fe GRB Conference
  Proceedings, 2003",,"10.1063/1.1810830",,"astro-ph",,"  Fireballs with high energy per baryon rest mass (> 400) contain a relatively
slow neutron component. We show here that in this situation the thermal history
of fireballs is very different from the standard adiabatic cooling.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 15:52:04 GMT""},{""version"":""v2"",""created"":""Thu, 13 May 2004 09:55:17 GMT""}]","2009-11-10"
"cond-mat/0401312","Yueh-Nan Chen","Y. N. Chen, D. S. Chuu, and T. Brandes","Effects of cavity and superradiance on the electrical transport through
  quantum dots","27 pages, 8 figures, to appear in ""Quantum Dots: Research
  Developments"", Nova Science Publishers (2005)",,,,"cond-mat.mes-hall",,"  A novel method is proposed to measure the Purcell effect by observing the
current through a semiconductor quantum dot embedded inside a microcavity. The
stationary current is shown to be altered if one varies the cavity length. For
the double-dot system, the stationary current is found to show the interference
feature (superradiance) as the inter-dot distance is varied. The amplitude of
oscillation can be increased by incorporating the system into a microcavity.
Furthermore, the current is suppressed if the dot distance is small compared to
the wavelength of the emitted photon. This photon trapping phenomenon generates
the entangled state and may be used to control the emission of single photons
at predetermined times.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 08:52:21 GMT""},{""version"":""v2"",""created"":""Mon, 8 Mar 2004 11:47:35 GMT""},{""version"":""v3"",""created"":""Sun, 10 Jul 2005 03:05:21 GMT""}]","2007-05-23"
"cond-mat/0401313","Victor M. Yakovenko","Hyok-Jon Kwon, K. Sengupta, Victor M. Yakovenko","Fractional ac Josephson effect in unconventional superconductors","8 pages, 3 figures, RevTEX 4; v2. - minor typos corrected in proofs","Low Temperature Physics 30, 613-619 (2004)","10.1063/1.1789931",,"cond-mat.supr-con",,"  For certain orientations of Josephson junctions between two p_x-wave or two
d-wave superconductors, the subgap Andreev bound states produce a 4pi-periodic
relation between the Josephson current I and the phase difference phi: I ~
sin(phi/2). Consequently, the ac Josephson current has the fractional frequency
eV/h, where V is the dc voltage. In the tunneling limit, the Josephson current
is proportional to the first power (not square) of the electron tunneling
amplitude. Thus, the Josephson current between unconventional superconductors
is carried by single electrons, rather than by Cooper pairs. The fractional ac
Josephson effect can be observed experimentally by measuring frequency spectrum
of microwave radiation from the junction.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 13:09:53 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jun 2004 02:11:40 GMT""}]","2007-05-23"
"cond-mat/0401314","Anatolii Mokshin","Renat M. Yulmetyev, Anatolii V. Mokshin, Peter H\""anggi","Diffusion Time-Scale Invariance, Markovization Processes and Memory
  Effects in Lennard-Jones Liquids","10 pages, 3 figures","Phys. Rev E 68, 051201 (2003)","10.1103/PhysRevE.68.051201",,"cond-mat.dis-nn",,"  We report the results of calculation of diffusion coefficients for
Lennard-Jones liquids, based on the idea of time-scale invariance of relaxation
processes in liquids. The results were compared with the molecular dynamics
data for Lennard-Jones system and a good agreement of our theory with these
data over a wide range of densities and temperatures was obtained. By
calculations of the non-Markovity parameter we have estimated numerically
statistical memory effects of diffusion in detail.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 13:07:55 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jan 2004 14:22:35 GMT""}]","2007-05-23"
"cond-mat/0401315","Per Hyldgaard","P. Hyldgaard","Resonant thermal transport in semiconductor barrier structures","4 pages. 4 figure.s",,"10.1103/PhysRevB.69.193305",,"cond-mat.mes-hall cond-mat.mtrl-sci",,"  I report that thermal single-barrier (TSB) and thermal double-barrier (TDB)
structures (formed, for example, by inserting one or two regions of a few Ge
monolayers in Si) provide both a suppression of the phonon transport as well as
a resonant-thermal-transport effect. I show that high-frequency phonons can
experience a traditional double-barrier resonant tunneling in the TDB
structures while the formation of Fabry-Perot resonances (at lower frequencies)
causes quantum oscillations in the temperature variation of both the TSB and
TDB thermal conductances $\sigma_{\text{TSB}}$ and $\sigma_{\text{TDB}}$.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 13:48:14 GMT""}]","2009-11-10"
"cs/0401014","Vadim Tropashko","Vadim Tropashko","Nested Intervals with Farey Fractions","1 figure",,,,"cs.DB",,"  Relational Databases are universally conceived as an advance over their
predecessors Network and Hierarchical models. Superior in every querying
respect, they turned out to be surprisingly incomplete when modeling transitive
dependencies. Almost every couple of months a question how to model a tree in
the database surfaces at comp.database.theory newsgroup. This article completes
a series of articles exploring Nested Intervals Model. Previous articles
introduced tree encoding with Binary Rational Numbers. However, binary encoding
grows exponentially, both in breadth and in depth. In this article, we'll
leverage Farey fractions in order to overcome this problem. We'll also
demonstrate that our implementation scales to a tree with 1M nodes.
","[{""version"":""v1"",""created"":""Sun, 18 Jan 2004 03:09:04 GMT""}]","2007-05-23"
