"astro-ph/0406410","Victor Utrobin P.","V. P. Utrobin (ITEP Moscow)","The Light Curve of Supernova 1987A: The Structure of the Presupernova
  and Radioactive Nickel Mixing","16 pages, 13 figures, 1 table","Astron.Lett. 30 (2004) 293-308","10.1134/1.1738152",,"astro-ph",,"  We have studied the influence of the presupernova structure and the degree of
Ni-56 mixing on the bolometric light curve of SN 1987A in terms of radiation
hydrodynamics in the one-group approximation by abandoning LTE and by taking
into account nonthermal ionization and the contribution of spectral lines to
opacity. Our study shows that moderate Ni-56 mixing at velocities of < 2500
km/s can explain the observed light curve if the density of the outer layers of
the presupernova exceeds the value obtained in the evolutionary model of a
single nonrotating star severalfold. Abandoning LTE and allowing for nonthermal
ionization when solving the equation of state and calculating the mean
opacities and the thermal emission coefficient leads to a significant
difference between the gas temperature and the radiation temperature in the
optically thin layers of the supernova envelope. We demonstrate the fundamental
role of the contribution of spectral lines to the opacity in an expanding
envelope and of the accurate description of radiative transfer in reproducing
the observed shape of the bolometric light curve. We have found that
disregarding the contribution of spectral lines to the opacity introduces an
error of 20% into the explosion energy, and that a similar error is possible
when determining the mass of the ejected matter. The resonant scattering of
radiation in numerous lines accelerates the outer layers to velocities of 36
000 km/s; this additional acceleration affects the outer layers with a mass of
10^{-6} Msun. Proper calculations of the supernova luminosity require that not
only the delay effects, but also the limb-darkening effects be taken into
account.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 17:21:29 GMT""}]","2009-11-10"
"astro-ph/0406425","Vicent J. Martinez","J-L. Starck, V.J. Martinez, D. L. Donoho, O. Levi, P. Querre, E. Saar","Analysis of the Spatial Distribution of Galaxies by Multiscale Methods","26 pages, 20 figures. Submitted to EURASIP Journal on Applied Signal
  Processing (special issue on ""Applications of Signal Processing in
  Astrophysics and Cosmology"")",,"10.1155/ASP.2005.2455",,"astro-ph",,"  Galaxies are arranged in interconnected walls and filaments forming a cosmic
web encompassing huge, nearly empty, regions between the structures. Many
statistical methods have been proposed in the past in order to describe the
galaxy distribution and discriminate the different cosmological models. We
present in this paper results relative to the use of new statistical tools
using the 3D isotropic undecimated wavelet transform, the 3D ridgelet transform
and the 3D beamlet transform. We show that such multiscale methods produce a
new way to measure in a coherent and statistically reliable way the degree of
clustering, filamentarity, sheetedness, and voidedness of a dataset
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 16:36:08 GMT""}]","2016-02-17"
"astro-ph/0406426","Richard Rand","Richard J. Rand and John F. Wallin","Pattern Speeds of BIMA-SONG Galaxies with Molecule-Dominated ISMs Using
  the Tremaine-Weinberg Method","54 pages with 23 figures, accepted for publication in ApJ","Astrophys.J. 614 (2004) 142-157","10.1086/423423",,"astro-ph",,"  We apply the Tremaine-Weinberg method of pattern speed determination to data
cubes of CO emission in six spiral galaxies from the BIMA SONG survey each with
an ISM dominated by molecular gas. We compare derived pattern speeds with
estimates based on other methods, usually involving the identification of a
predicted behavior at one or more resonances of the pattern(s). In two cases
(NGC 1068 and NGC 4736) we find evidence for a central bar pattern speed that
is greater than that of the surrounding spiral and roughly consistent with
previous estimates. However, the spiral pattern speed in both cases is much
larger than previous determinations. For the barred spirals NGC 3627 and NGC
4321, the method is insensitive to the bar pattern speed (the bar in each is
nearly parallel to the major axis; in this case the method will not work), but
for the former galaxy the spiral pattern speed found agrees with previous
estimates of the bar pattern speed, suggesting that these two structures are
part of a single pattern. For the latter, the spiral pattern speed found is in
agreement with several previous determinations. For the flocculent spiral NGC
4414 and the ``Evil Eye'' galaxy NGC 4826, the method does not support the
presence of a large-scale coherent pattern. We also apply the method to a
simulated barred galaxy in order to demonstrate its validity and to understand
its sensitivity to various observational parameters. In addition, we study the
results of applying the method to a simulated, clumpy axisymmetric disk with no
wave present. The TW method in this case may falsely indicate a well-defined
pattern.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 17:09:33 GMT""}]","2009-11-10"
"astro-ph/0406427","Eduardo Gonz\'alez-Alfonso","Eduardo Gonz\'alez-Alfonso (Universidad de Alcal\'a de Henares),
  Howard A. Smith (Harvard-Smithsonian Center for Astrophysics), Jacqueline
  Fischer (Naval Research Laboratory), Jos\'e Cernicharo (CSIC, Dpto.
  Astrof\'isica Molecular e Infrarroja)","The far-infrared spectrum of Arp 220","38 pages, 7 figures, Latex","Astrophys.J. 613 (2004) 247-261","10.1086/422868",,"astro-ph",,"  ISO/LWS grating observations of the ultraluminous infrared galaxy Arp 220
shows absorption in molecular lines of OH, H$_2$O, CH, NH, and NH$_3$, as well
as in the [O I] 63 $\mu$m line and emission in the [C II] 158 $\mu$m line. We
have modeled the continuum and the emission/absorption of all observed features
by means of a non-local radiative transfer code. The continuum from 25 to 1300
$\mu$m is modeled as a warm (106 K) nuclear region that is optically thick in
the far-infrared, attenuated by an extended region (size 2$''$) that is heated
mainly through absorption of nuclear infrared radiation. The molecular
absorption in the nuclear region is characterized by high excitation due to the
high infrared radiation density. The OH column densities are high toward the
nucleus and the extended region. The H$_2$O column density is also high toward
the nucleus and lower in the extended region. The column densities in a halo
are similar to what are found in the diffuse clouds toward Sgr B2 near the
Galactic Center. Most notable are the high column densities found for NH and
NH$_3$ toward the nucleus, with values of $\sim1.5\times10^{16}$ cm$^{-2}$ and
$\sim3\times10^{16}$ cm$^{-2}$, respectively. A combination of PDRs in the
extended region and hot cores with enhanced \hdo photodissociation and a
possible shock contribution in the nuclei may explain the relative column
densities of OH and \hdo, whereas the nitrogen chemistry may be strongly
affected by cosmic ray ionization. The [C II] 158 $\mu$m line is well
reproduced by our models and its ``deficit'' relative to the CII/FIR ratio in
normal and starburst galaxies is suggested to be mainly a consequence of the
dominant non-PDR component of far-infrared radiation, although our models alone
cannot rule out extinction effects in the nuclei.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 18:03:50 GMT""}]","2016-08-16"
"astro-ph/0406428","Carlos Hernandez-Monteagudo","C.Hernandez-Monteagudo (1), R.Genova-Santos (2) and F.Atrio-Barandela
  (3) ((1) MPA, (2) IAC, (3) Universidad de Salamanca)","The Effect of Hot Gas in WMAP's First Year Data","10 pages, 4 figures, matches accepted version in ApJ Letters","Astrophys.J. 613 (2004) L89-L92","10.1086/425230",,"astro-ph",,"  By cross-correlating templates constructed from the 2 Micron All Sky Survey
(2MASS) Extended Source (XSC) catalogue with WMAP's first year data, we search
for the thermal Sunyaev-Zel'dovich signature induced by hot gas in the local
Universe. Assuming that galaxies trace the distribution of hot gas, we select
regions on the sky with the largest projected density of galaxies. Under
conservative assumptions on the amplitude of foreground residuals, we find a
temperature decrement of -35 $\pm$ 7 $\mu$K ($\sim 5\sigma$ detection level,
the highest reported so far) in the $\sim$ 26 square degrees of the sky
containing the largest number of galaxies per solid angle. We show that most of
the reported signal is caused by known galaxy clusters which, when convolved
with the average beam of the WMAP W band channel, subtend a typical angular
size of 20--30 arcmins. Finally, after removing from our analyses all pixels
associated with known optical and X-ray galaxy clusters, we still find a tSZ
decrement of -96 $\pm$ 37 $\mu$K in pixels subtending about $\sim$ 0.8 square
degrees on the sky. Most of this signal is coming from five different cluster
candidates in the Zone of Avoidance (ZoA), present in the Clusters In the ZoA
(CIZA) catalogue. We found no evidence that structures less bound than clusters
contribute to the tSZ signal present in the WMAP data.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 18:27:58 GMT""},{""version"":""v2"",""created"":""Mon, 23 Aug 2004 17:00:30 GMT""}]","2009-11-10"
"astro-ph/0406429","Nader Haghighipour","Eugenio J. Rivera and Nader Haghighipour","On the Stability of Test Particles in Extrasolar Multiple Planet Systems","37 pages, 17 figures, 4 tables, submitted for publication","Mon.Not.Roy.Astron.Soc.374:599-613,2007","10.1111/j.1365-2966.2006.11172.x",,"astro-ph",,"  We present results of extensive numerical studies of the stability of
non-interacting particles in the planetary systems of stars Upsilon Andromedae,
GJ 876, 47 UMa, and 55 Cancri. We discuss the possibility of the existence of
islands of stability and/or instability at different regions in these
multi-body systems, and their probable correspondence to certain mean-motion
resonances. The results of our study may be applied to questions concerning the
stability of terrestrial planets in these systems and also the trapping of
particles in resonances with the planets.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 18:54:52 GMT""}]","2008-11-26"
"astro-ph/0406431","Tim Thoroughgood","T. D. Thoroughgood (1), V. S. Dhillon (1), C. A. Watson (1), D. A. H.
  Buckley (2), D. Steeghs (3) and M. J. Stevenson (1) ((1) Univ. Sheffield, (2)
  SAAO, (3) CfA)","The masses of the cataclysmic variables AC Cancri and V363 Aurigae","18 pages, 12 figures (Figs. 4 and 6 at reduced resolution), accepted
  for publication in MNRAS",,"10.1111/j.1365-2966.2004.08135.x",,"astro-ph",,"  We present time-resolved spectroscopy and photometry of the double-lined
eclipsing cataclysmic variables AC Cnc and V363 Aur (= Lanning 10). There is
evidence of irradiation on the inner hemisphere of the secondary star in both
systems, which we correct for using a model that reproduces the observations
remarkably well. We find the radial velocity of the secondary star in AC Cnc to
be K_R = 176 \pm 3 km/s and its rotational velocity to be v sin i = 135 \pm 3
km/s. From these parameters we obtain masses of M_1 = 0.76 \pm 0.03 M_sun for
the white dwarf primary and M_2 = 0.77 \pm 0.05 M_sun for the K2 \pm 1V
secondary star, giving a mass ratio of q = 1.02 \pm 0.04. We measure the radial
and rotational velocites of the G7 \pm 2V secondary star in V363 Aur to be K_R
= 168 \pm 5 km/s and v sin i = 143 \pm 5 km/s respectively. The component
masses of V363 Aur are M_1 = 0.90 \pm 0.06 M_sun and M_2 = 1.06 \pm 0.11 M_sun,
giving a mass ratio of q = 1.17 \pm 0.07. The mass ratios for AC Cnc and V363
Aur fall within the theoretical limits for dynamically and thermally stable
mass transfer. Both systems are similar to the SW Sex stars, exhibiting
single-peaked emission lines with transient absorption features, high-velocity
S-wave components and phase-offsets in their radial velocity curves. The Balmer
lines in V363 Aur show a rapid increase in flux around phase 0 followed by a
rapid decrease, which we attribute to the eclipse of an optically thick region
at the centre of the disc. This model could also account for the behaviour of
other SW Sex stars where the Balmer lines show only a shallow eclipse compared
to the continuum.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 22:49:13 GMT""}]","2009-11-10"
"astro-ph/0406433","Andres Jordan","Andres Jordan, John P. Blakeslee, Eric W. Peng, Simona Mei, Patrick
  Cote, Laura Ferrarese, John L. Tonry, David Merritt, Milos Milosavljevic,
  Michael J. West","The ACS Virgo Cluster Survey II. Data Reduction Procedures","33 pages, 8 figures. Accepted for publication in ApJS. Also available
  at http://www.physics.rutgers.edu/~pcote/acs/publications.html","Astrophys.J.Suppl. 154 (2004) 509","10.1086/422977",,"astro-ph",,"  The ACS Virgo Cluster Survey is a large program to carry out multi-color
imaging of 100 early-type members of the Virgo Cluster using the Advanced
Camera for Surveys (ACS) on the Hubble Space Telescope. Deep F475W and F850LP
images (~ SDSS g and z) are being used to study the central regions of the
program galaxies, their globular cluster systems, and the three-dimensional
structure of Virgo itself. In this paper, we describe in detail the data
reduction procedures used for the survey, including image registration,
drizzling strategies, the computation of weight images, object detection, the
identification of globular cluster candidates, and the measurement of their
photometric and structural parameters.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 20:55:48 GMT""}]","2009-11-10"
"astro-ph/0406434","Rudolph E. Schild","R. Schild, I Masnyak, B. Hnatyk, V. Zhdanov","Anomalous Fluctuations in Observations of Q0957+561 A,B: Smoking Gun of
  a Cosmic String?","Published in Astronomy and Astrophysics. 7 pages, 6 figures","Astron.Astrophys. 422 (2004) 477-482","10.1051/0004-6361:20040274",,"astro-ph",,"  We report the detection of anomalous brightness fluctuations in the multiple
image Q0957+561 A,B gravitational lens system, and consider whether such
anomalies have a plausible interpretation within the framework of cosmic string
theory. We study a simple model of gravitational lensing by an asymmetrical
rotating string. An explicit form of the lens equation is obtained and
approximate relations for magnification are derived. We show that such a model
with typical parameters of the GUT string can quantitatively reproduce the
observed pattern of brightness fluctuations. On the other hand, explanation
involving a binary star system as an alternative cause requires an unacceptably
large massive object at a small distance. We also discuss possible
observational manifestations of cosmic strings within our lens model.
","[{""version"":""v1"",""created"":""Fri, 18 Jun 2004 21:01:53 GMT""}]","2009-11-10"
"astro-ph/0406435","Marcella Brusa","Marcella Brusa (Dipartimento di Astronomia, Universita' di Bologna &
  INAF - Osservatorio Astronomico di Bologna)","Physics and evolution of obscured X-ray sources: a multiwavelength
  approach","Introduction, goals and dissertation summary of my PhD Thesis,
  discussed at the University of Bologna, April 2004 (thesis advisor: Dr.
  Andrea Comastri; supervisor: Prof. Brusano Marano). Using LaTeX2e; dropping,
  rotating, deluxetable styles included. A link to the full thesis in PS format
  (132 pages) may be found at
  http://duffy.bo.astro.it/~marcella/brusa_thesis.ps.gz",,,,"astro-ph",,"  Observations at high energies yield important information on the structure
and nature of AGN; when coupled with deep optical and near-infrared
(photometric and spectroscopic) follow-up, they provide constraints on the mass
of the growing black holes and, therefore, are essential to better understand
the nature of the various components of the X-ray background light and can be
used as test for the accretion paradigm. Conversely, optical and near-infrared
surveys of galaxies are crucial to discriminate between different cosmological
scenarios (e.g. hierarchical or monolithic growth of the structures) and, thus,
to recover the galaxy evolution path.
  In this framework, in the first part of the thesis, I will discuss the main
results from an extensive program of multiwavelength observations of hard X-ray
selected sources serendipitously discovered in XMM-Newton fields over ~1 deg^2
(the HELLAS2XMM survey). With a complementary approach to that of hard X-ray
surveys, in order to investigate the link between nuclear activity and the
galaxy formation, in the second part of the thesis I will present XMM-Newton
and Chandra observations of photometric and spectroscopically selected
Extremely Red Objects (EROs).
","[{""version"":""v1"",""created"":""Sat, 19 Jun 2004 12:03:38 GMT""}]","2007-05-23"
